RU;52;1450;TransparentCalls;0.94;894;88;15
US;2;1856;E-Voice;0.67;263;8;29
GB;41;1167;TransparentCalls;0.62;604;76;5
FR;15;1766;TransparentCalls;0.66;882;41;17
BL;57;458;E-Voice;0.67;263;56;54
AT;3;1703;TransparentCalls;0.81;667;89;51
BG;63;1029;E-Voice;0.62;452;73;3
DK;62;1958;JustPhone;0.73;966;15;44
CA;97;677;JustPhone;0.69;347;27;59
ES;79;392;E-Voice;0.69;209;26;27
CH;62;1003;JustPhone;0.92;723;7;39
TR;56;646;TransparentCalls;0.88;120;1;13
PE;92;769;JustPhone;0.61;76;6;10
NZ;37;71;JustPhone;0.92;776;88;27
MC75;1408;E-Voice;0.67;767;58;55
